transaction_id,customer_id,order_date,price,quantity,discount,total_amount
TX0095008,STD_1721031591,2024-09-26T12:32:02.000+07:00,443.4,10,0.05,4212.3
TX0104254,STD_1721031591,2024-05-25T12:32:03.000+07:00,451.0,10,0.05,4284.5
TX0233042,STD_1721031591,2024-05-19T12:32:05.000+07:00,435.62,10,0.05,4138.39
TX0247522,STD_1721031591,2024-11-17T12:32:05.000+07:00,488.19,10,0.18,4003.158
TX0116086,STD_1721031591,2024-08-09T12:32:03.000+07:00,468.99,10,0.03,4549.203
TX0011783,STD_1721031591,2024-10-02T12:32:01.000+07:00,493.17,10,0.14,4241.262
TX0183765,STD_1721031591,2024-09-15T12:32:04.000+07:00,443.04,10,0.01,4386.0957
TX0224579,STD_1721031591,2024-08-11T12:32:05.000+07:00,480.06,10,0.08,4416.5522
TX0164625,STD_1721031591,2024-04-16T12:32:04.000+07:00,445.79,10,0.03,4324.163
TX0135123,STD_1721031591,2024-07-25T12:32:03.000+07:00,434.57,10,0.07,4041.5012
TX0227671,STD_1721031591,2024-05-13T12:32:05.000+07:00,496.94,10,0.16,4174.296
TX0165006,STD_1721031591,2024-12-17T12:32:04.000+07:00,478.11,9,0.06,4044.8103
TX0134830,STD_1721031591,2024-09-02T12:32:03.000+07:00,457.49,10,0.01,4529.151
TX0148972,STD_1721031591,2025-02-03T12:32:04.000+07:00,465.75,10,0.1,4191.75
TX0003431,STD_1721031591,2024-08-16T12:32:01.000+07:00,438.68,10,0.01,4342.9316
TX0178933,STD_1721031591,2024-11-22T12:32:04.000+07:00,438.97,10,0.04,4214.1123
TX0131080,STD_1721031591,2024-09-29T12:32:03.000+07:00,427.85,10,0.03,4150.145
TX0202268,STD_1721031591,2024-09-26T12:32:04.000+07:00,449.17,10,0.0,4491.7
TX0113591,STD_1721031591,2024-05-25T12:32:03.000+07:00,490.6,10,0.09,4464.46
TX0012505,STD_1721031591,2024-12-23T12:32:01.000+07:00,493.73,10,0.13,4295.451
TX0100320,STD_1721031591,2025-01-04T12:32:02.000+07:00,467.22,10,0.09,4251.702
TX0075553,STD_1721031591,2025-02-21T12:32:02.000+07:00,460.52,10,0.12,4052.5757
TX0220376,STD_1721031591,2024-11-23T12:32:05.000+07:00,488.84,9,0.09,4003.5996
TX0128801,STD_1721031591,2025-01-14T12:32:03.000+07:00,471.64,10,0.15,4008.9404
TX0107138,STD_1721031591,2024-05-06T12:32:03.000+07:00,483.94,10,0.06,4549.036
TX0183642,STD_1721031591,2024-08-24T12:32:04.000+07:00,486.52,10,0.05,4621.9395
TX0254065,STD_1721031591,2024-05-24T12:32:05.000+07:00,484.26,9,0.02,4271.1733
TX0042254,STD_1721031591,2024-07-28T12:32:01.000+07:00,460.81,10,0.09,4193.371
TX0235107,STD_1721031591,2024-11-12T12:32:05.000+07:00,499.09,9,0.01,4446.892
TX0233063,STD_1721031591,2024-10-03T12:32:05.000+07:00,398.87,10,0.0,3988.7
TX0047391,STD_1721031591,2024-04-17T12:32:01.000+07:00,439.15,10,0.05,4171.925
TX0181695,STD_1721031591,2024-08-29T12:32:04.000+07:00,493.17,9,0.09,4039.0625
TX0239417,STD_1721031591,2024-06-22T12:32:05.000+07:00,471.01,10,0.06,4427.494
TX0037439,STD_1721031591,2024-12-24T12:32:01.000+07:00,423.64,10,0.01,4194.0366
TX0127754,STD_1721031591,2024-08-28T12:32:03.000+07:00,497.45,10,0.18,4079.0898
TX0170999,STD_1721031591,2024-11-11T12:32:04.000+07:00,486.98,10,0.12,4285.4243
TX0204910,STD_1721031591,2024-11-03T12:32:04.000+07:00,486.04,9,0.01,4330.616
TX0198708,STD_1721031591,2024-08-17T12:32:04.000+07:00,490.78,9,0.04,4240.3394
TX0047270,STD_1721031591,2024-10-04T12:32:01.000+07:00,466.64,10,0.05,4433.08
TX0036548,STD_1721031591,2024-12-20T12:32:01.000+07:00,496.35,9,0.08,4109.778
TX0209563,STD_1721031591,2025-04-04T12:32:05.000+07:00,446.82,10,0.07,4155.4263
TX0203070,STD_1721031591,2024-07-17T12:32:04.000+07:00,455.83,10,0.02,4467.134
TX0067202,STD_1721031591,2024-04-13T12:32:02.000+07:00,497.06,10,0.14,4274.7163
TX0182567,STD_1721031591,2024-10-21T12:32:04.000+07:00,459.36,9,0.03,4010.2126
TX0219688,STD_1721031591,2024-09-29T12:32:05.000+07:00,499.22,10,0.13,4343.2144
TX0237506,STD_1721031591,2024-11-29T12:32:05.000+07:00,427.18,10,0.02,4186.364
TX0251170,STD_1721031591,2024-05-17T12:32:05.000+07:00,447.17,10,0.09,4069.247
TX0032041,STD_1721031591,2025-03-12T12:32:01.000+07:00,454.64,10,0.01,4500.9365
TX0143636,STD_1721031591,2024-05-14T12:32:03.000+07:00,471.73,10,0.05,4481.435
TX0164706,STD_1721031591,2024-04-19T12:32:04.000+07:00,463.99,10,0.09,4222.3086
TX0050569,STD_1721031591,2025-02-04T12:32:01.000+07:00,438.34,10,0.01,4339.566
TX0058682,STD_1721031591,2024-09-11T12:32:02.000+07:00,477.97,9,0.03,4172.678
TX0203781,STD_1721031591,2024-11-01T12:32:04.000+07:00,492.11,10,0.02,4822.6777
TX0251223,STD_1721031591,2024-07-11T12:32:05.000+07:00,467.99,10,0.02,4586.302
TX0224754,STD_1721031591,2024-11-22T12:32:05.000+07:00,496.73,9,0.01,4425.8647
TX0005840,STD_1721031591,2024-12-31T12:32:01.000+07:00,469.24,9,0.03,4096.4653
TX0056111,STD_1721031591,2025-01-09T12:32:02.000+07:00,489.69,9,0.01,4363.1377
TX0136033,STD_1721031591,2024-09-21T12:32:03.000+07:00,484.54,10,0.16,4070.136
TX0024786,STD_1721031591,2024-10-16T12:32:01.000+07:00,452.2,10,0.12,3979.3599
TX0077882,STD_1721031591,2025-01-07T12:32:02.000+07:00,409.25,10,0.01,4051.575
TX0093815,STD_1721031591,2024-04-16T12:32:02.000+07:00,476.69,9,0.05,4075.6995
TX0180687,STD_1721031591,2025-03-10T12:32:04.000+07:00,494.85,9,0.05,4230.9673
TX0010254,STD_1721031591,2024-11-25T12:32:01.000+07:00,489.47,9,0.08,4052.8118
TX0037605,STD_1721031591,2024-06-26T12:32:01.000+07:00,498.87,10,0.13,4340.1694
TX0125773,STD_1721031591,2025-03-24T12:32:03.000+07:00,473.98,10,0.06,4455.412
TX0084491,STD_1721031591,2025-03-02T12:32:02.000+07:00,488.58,9,0.03,4265.303
TX0068024,STD_1721031591,2024-08-23T12:32:02.000+07:00,499.16,10,0.16,4192.9443
TX0050198,STD_1721031591,2025-03-17T12:32:01.000+07:00,484.93,9,0.06,4102.508
